text,intent
My account recovery seems to require info from years ago I don't remember,account_recovery
"I need a firm delivery date, not just an estimate range",order_tracking
how 2 sign up,account_creation
"Hey, hope this is the right chat for queries",greeting
Is there a live agent option available specifically for account security issues,human_handoff
Is there an offer for customers referring within the same household,promotions
Having trouble signing in,account_recovery
I need an update on ORD1047,order_tracking
Can you check if returning without original tags still qualifies for refund,refund
Can you tell me if there's a special promotion during your platform's anniversary week,promotions
"My account may have been hacked, help me recover it",account_recovery
"Hi there, quick question",greeting
I want to talk to a human,human_handoff
"Hey, is customer support free to use?",greeting
Can you tell me if this discount applies automatically or needs a code,promotions
I need this resolved before it affects my next scheduled payment,billing_inquiry
I need to update my company details for a business account,account_management
"Hi, not sure if I'm in the right place but I need help",greeting
Can I merge two accounts?,account_management
Can you tell me if points earned today are usable immediately,promotions
how do i register if i dont have a permanent address yet,account_creation
Can you help correct a spelling mistake in my saved address,account_management
I need a human decision on this since automated rules seem too rigid here,human_handoff
What's the status of ORD1068?,order_tracking
Is there a way to speak with someone before this escalates further on my end,human_handoff
Is there a way to check real customer usage duration before it needed repairs,product_inquiry
Shipping cost?,shipping_info
The color of the product is completely different from what I ordered,refund
Can shipping be paused temporarily if I'm traveling,shipping_info
how do i go about cancelling a placed order,cancel_order
Can you confirm if there's a way to combine referral credit with a flash sale discount,promotions
Steps to create a profile,account_creation
"My previous recovery attempt was rejected, can I try again immediately",account_recovery
Why does my refund amount not match the original discounted price I paid,refund
"refund amount seems wrong, less than expected",refund
can i register using a work phone number,account_creation
"My account was deactivated, can it be reactivated?",account_recovery
"want a quick account just to check prices, is that fine",account_creation
can i register multiple family members under one email,account_creation
rfund status pls,refund
What's the seasonal offer right now?,promotions
need to update recovery contact details urgently,account_management
I need to correct a typo in my registered address,account_management
I ordered something five days ago and there's no update,order_tracking
What material is this made of?,product_inquiry
How do loyalty points work?,promotions
I want to know exactly which courier is handling my delivery,order_tracking
is there a deadline today after which i cant cancel anymore,cancel_order
Can you connect me to whoever is available in the next few minutes,human_handoff
can i get delivery same day if i order early morning,shipping_info
promo code nahi mil raha,promotions
Track order number ORD1138,order_tracking
can i get a revised invoice after applying a late discount,billing_inquiry
any special pricing for repeat customers like me,promotions
my corporate card was charged personal tax incorrectly,billing_inquiry
Is there a difference in warranty coverage between regions for this product,product_inquiry
"Hi, is this where I go for general questions?",greeting
invoice missing items i actually ordered,billing_inquiry
Can I get a sample before committing to a bulk order?,product_inquiry
account access denied even after correct otp entry,account_recovery
Do you have a referral bonus program?,promotions
Is this available as part of a subscription-based replenishment service,product_inquiry
"I need a human confirmation that this was actually fixed, not just marked resolved",human_handoff
I see two charges for the same order on my bank statement,billing_inquiry
Can you tell me the expected restock date if it's currently sold out,product_inquiry
Can I update my info directly from the mobile app or only the website,account_management
refral bonus kitna milta hai,promotions
Is this compatible with solar charging accessories,product_inquiry
Can you look up ORD1026?,order_tracking
Can support verify if the refunded amount accounts for a coupon originally applied,refund
is there a tutorial for new account setup,account_creation
Is there a special rate for combining shipping across multiple promotions,promotions
pls escalate to manager,human_handoff
"Been locked out for two days now, this is urgent",account_recovery
I want to return this item,refund
Can you confirm if this promo excludes items already marked as best sellers,promotions
I want to speak to a representative,human_handoff
"Can I register using just a username and password, no email at all",account_creation
Do you support registration through mobile OTP only?,account_creation
Is there a discount for customers who switched from a competitor,promotions
"Please cancel, the seller's response time made me lose confidence",cancel_order
is my account permanently gone if i cant recover the email,account_recovery
"Hey, I've got a couple of things to ask if that's okay",greeting
"Hi, thanks for being available",greeting
update card details,account_management
Why did my bill increase mid-cycle without any plan change on my end,billing_inquiry
What's the battery life on this?,product_inquiry
Helo,greeting
Laptop price,product_inquiry
Update details,account_management
I need refund confirmation in writing for my records,refund
the app shows my package in a city i dont even live near,order_tracking
agent chahiye abhi,human_handoff
"My order status flipped from delivered back to in transit, that's odd",order_tracking
Please track ORD1033 urgently,order_tracking
There's a tracking number but it doesn't work on the courier's website,order_tracking
want to sign up but the terms and conditions page won't open,account_creation
Is this suitable for use in vehicles or strictly stationary settings,product_inquiry
What are the current offers?,promotions
Is there a discount for subscribing to auto-replenishment orders,promotions
"The reset password link says it has expired, can you send a new one?",account_recovery
is it possible to cancel after cash on delivery was selected,cancel_order
Can you tell me if there's a way to redeem points for faster shipping instead of discounts,promotions
Can you tell me if there's a way to earn double points during weekends,promotions
Is this product covered under manufacturer recall history I should know about,product_inquiry
How do I update my profile picture?,account_management
"Hi, ready when you are",greeting
Please escalate this to a manager,human_handoff
I need to update my industry type for a business account,account_management
What are the product specifications?,product_inquiry
Is there a live chat queue specifically for repeat unresolved issues,human_handoff
Can I see a video demo of how this works?,product_inquiry
"I found the same product cheaper somewhere else, please cancel mine",cancel_order
Tell me about Printer,product_inquiry
discount code?,promotions
"My package tracking updated at 3am, does delivery happen overnight",order_tracking
connect 2 human asap,human_handoff
How much time do I have before an order becomes uncancellable?,cancel_order
"Hi, been a while since I last used this chat",greeting
"Hey, sorry to jump straight in but I'm in a bit of a hurry",greeting
can you update my contact number for me,account_management
i want to file a complaint with an actual representative,human_handoff
trying to create account but browser keeps crashing,account_creation
"trying to cancel a preorder, is that possible",cancel_order
Do you have a coupon code?,promotions
Do you deliver on Sundays in metro cities?,shipping_info
product specs?,product_inquiry
"I already have an account on your app, do I need a separate one for the website?",account_creation
Track ORD1118 for me please,order_tracking
What happens if I'm not home during delivery?,shipping_info
how fast can u ship to my city,shipping_info
Can you get someone to double check this before closing the ticket,human_handoff
change delivery adress plz,account_management
Is this handmade or machine manufactured?,product_inquiry
Can a real agent walk me through the next steps instead of the bot,human_handoff
Do you provide expedited customs clearance for urgent international orders,shipping_info
Are there any freebies included with purchases over a certain amount?,promotions
how 2 get refund for defective item,refund
Can support check if the return pickup was scheduled correctly,refund
want to cancel my monthly subscription order permanently,cancel_order
"Hey, mind if I ask something unrelated to my last chat?",greeting
How soon can I start using the account after registering?,account_creation
"trying to edit my birthday, entered it wrong initially",account_management
need to remove old address,account_management
"Money deducted from my account twice for one order, please refund the extra",billing_inquiry
Why does the refund tracker show a different timeline than promised,refund
I need this refund matter closed with a final confirmation email,refund
"I placed the order under the wrong account, please cancel it",cancel_order
"This isn't what I ordered, I'd like a refund",refund
I need this refund processed before my card statement closes,refund
"Good morning, coffee hasn't kicked in yet but I have a question lol",greeting
Is there a way to track delivery in real time before I even order?,shipping_info
I want to become a registered user,account_creation
How long does account creation take?,account_creation
My auto-renewal charged me despite turning off auto-pay,billing_inquiry
Can you send me a new password?,account_recovery
Is there a discount tied to completing a certain number of orders per year,promotions
Can you confirm the exact resolution or output specifications for this device,product_inquiry
Why was I charged shipping when my order qualified for free delivery?,billing_inquiry
ORD1072 tracking info,order_tracking
I need to update account settings before transferring ownership to someone else,account_management
Can delivery be rescheduled if I miss it?,shipping_info
my order has been in transit for way longer than usual,order_tracking
Is there a way to see photographic proof of delivery,order_tracking
I need to recover an account created years ago with outdated details,account_recovery
Trying to log in from a new country and it's blocking me,account_recovery
Can I cancel an order paid through a linked wallet balance,cancel_order
"Please cancel this order, I want to consolidate purchases into one shipment",cancel_order
"Need to fix my account info, some of it is outdated",account_management
I need this handled by someone outside of the standard tier one support,human_handoff
Can I register on behalf of my parents who aren't tech savvy?,account_creation
speak to rep,human_handoff
Is there a wishlist notification for when items go on sale?,promotions
Can I export a summary of all my saved account information,account_management
"I need this issue reviewed by an actual human, not the automated flow",human_handoff
I want to update account settings related to accessibility features,account_management
How do I know if my order actually left the seller's warehouse?,order_tracking
Is there a minimum cart value required to use this discount?,promotions
I need this passed along to someone who can actually authorize a solution,human_handoff
Can I track my refund the same way I track a delivery?,refund
"the recovery process wants a photo id, is that mandatory",account_recovery
I need help understanding why my invoice total excludes the discount shown at checkout,billing_inquiry
Want to join your platform,account_creation
"Hi, I appreciate any help you can give me",greeting
Is there an offer for customers who complete a satisfaction survey,promotions
"please cancel my bulk order, requirements changed",cancel_order
"Hi, hoping to sort this out before the weekend starts",greeting
Can you check if delivery was attempted at the wrong building,order_tracking
Do you offer free shipping?,shipping_info
is there a dedicated line for urgent issues with real agents,human_handoff
y was i charged extra,billing_inquiry
can i get a demo before purchasing dis in bulk,product_inquiry
Is there a lighter version of this same product?,product_inquiry
I think there's a typo in my registered email causing recovery failures,account_recovery
delivary status update pls,order_tracking
Can you confirm if military or veteran discounts are offered here,promotions
Can I sign up using my phone number?,account_creation
Can I cancel through email instead of the app or website,cancel_order
Can you get a real person to confirm this ticket number is valid,human_handoff
Does this come with a trial period before purchase commitment?,product_inquiry
"I tried registering three times, is something broken?",account_creation
payment says successful on my end but order shows unpaid,billing_inquiry
"i think i'm permanently locked out, is there any hope of recovery",account_recovery
Does shipping speed vary depending on the product category?,shipping_info
order status not clear on the app,order_tracking
Can you check if the refunded amount was sent to a joint account correctly,refund
"please help me cancel, i clicked buy by accident",cancel_order
I need to update which family members have order visibility,account_management
Please give me an update on ORD1119,order_tracking
Can you confirm if this product line supports trade-in for an upgrade,product_inquiry
I need to understand why installment amounts vary each month,billing_inquiry
I need a copy of my bill,billing_inquiry
Does this fit standard-sized furniture or is it custom?,product_inquiry
Does it come with accessories?,product_inquiry
Can I use a referral code even if I already have an account?,promotions
need to make new acc,account_creation
How do I know which sign-up method is fastest,account_creation
"refund request shows pending for way too long, please check",refund
i changed my email provider and lost the recovery access,account_recovery
Can I request delivery outside standard business hours,shipping_info
"Hello, thank you for your time today",greeting
Can I customize the size or color before ordering?,product_inquiry
Do you offer delivery tracking integration with smart home assistants,shipping_info
"Hi, are you a bot or a real person?",greeting
Please stop giving me automated replies and connect me to staff,human_handoff
I want to update my billing address,account_management
Can I get partial refund for a partially damaged shipment?,refund
Can billing support confirm if my account has any pending dues,billing_inquiry
Please cancel my order since it's a duplicate of an existing subscription,cancel_order
whats the price,product_inquiry
My order tracking has three different statuses shown across pages,order_tracking
can i use a nickname instead of my real name to sign up,account_creation
I need to update my profile since I recently changed jobs,account_management
Why was I billed before my order even shipped,billing_inquiry
Can you confirm the exact processor or engine specifications for this,product_inquiry
"I need a human perspective on this, not a scripted response",human_handoff
Can you check if the refunded amount accounts for currency conversion correctly,refund
want to update my profile bio if that's a feature,account_management
The estimated delivery date keeps getting pushed further away,order_tracking
"is my package lost, no updates in 4 days",order_tracking
Where's order ORD1091 right now?,order_tracking
talk to agent,human_handoff
"Please cancel my order, a family member already has this exact item",cancel_order
"Good morning, hope you can help me out",greeting
"This is frustrating, I just need to talk to a real person now",human_handoff
Can I have multiple shipping addresses saved at once?,account_management
can i cancel and place a new order with corrections instead,cancel_order
"Good evening, apologies for messaging so late at night",greeting
my account switched language settings and now i cant find login option,account_recovery
Can you confirm if this discount is available during the trial period of a subscription,promotions
Does this product ship with a charger included?,product_inquiry
Is there a way to request a specific batch or manufacturing date,product_inquiry
Is there an option to speak with the same agent from my previous conversation,human_handoff
Can support check if my company's purchase order number was linked correctly to this bill,billing_inquiry
Track my order ORD1145 please,order_tracking
"Hi, thanks for making this so easy to reach out",greeting
Why does my refund status say 'under review' for longer than usual,refund
Please cancel this order urgently before it leaves the warehouse,cancel_order
"Hi, how are you today?",greeting
I need to speak with a manager about a serious complaint,human_handoff
want to switch my account to a different country region,account_management
Can I update the account nickname shown to friends if we're connected,account_management
How long does account recovery usually take,account_recovery
"they said refund processed 5 days ago, still not recieved",refund
Hi,greeting
Can I create an account while my order is still in the cart,account_creation
Is there a special rate during off-season for products typically bought seasonally,promotions
how do i manage which apps have access to my account,account_management
Is it possible to cancel and get an even faster refund via UPI,cancel_order
Can I get written confirmation once the cancellation is complete,cancel_order
refund plz,refund
Can you confirm if a manual billing adjustment reflects immediately or after a cycle,billing_inquiry
Can you tell me if there's a special rate for combining multiple product categories,promotions
Is there a way to verify authenticity using a serial number,product_inquiry
What's the difference between the standard and pro version?,product_inquiry
trying to sign up but the otp never arrives,account_creation
want to change my registered address to my new apartment,account_management
can you push the courier for an update,order_tracking
Why does my return show received but the refund hasn't been triggered,refund
Please help me reset everything since I forgot all my login info,account_recovery
"Hello, can someone assist me?",greeting
I need a GST invoice for my order,billing_inquiry
Can support verify if the refund policy differs for marketplace sellers versus direct sales,refund
i've been patient but this really needs a human now,human_handoff
Order status ORD1080,order_tracking
I need a human to verify this wasn't already resolved incorrectly before,human_handoff
Does this product have any reviews?,product_inquiry
Locate the package for ORD1022,order_tracking
"please cancel, i no longer want to proceed with this purchase",cancel_order
whats the standard delivery time within the same state,shipping_info
"Hi, been trying to reach support for a while now",greeting
Can you tell me if this requires a firmware update before first use,product_inquiry
Can you confirm the exact dimensions when the product is folded versus unfolded,product_inquiry
reset pass now,account_recovery
lost access after switching to a new laptop entirely,account_recovery
I need to recover my account but I no longer have my old phone number,account_recovery
can i choose my own username or is it auto generated,account_creation
is username separate from email during signup,account_creation
Is there a support number specific to delayed shipments,order_tracking
Is there a dedicated escalation path for orders delayed past a week,order_tracking
Is there a way to merge loyalty points from two old accounts,account_management
Do you provide shipping updates in regional languages,shipping_info
is dis product certified safe,product_inquiry
Can I create an account without a credit card?,account_creation
Is ORD1015 shipped?,order_tracking
Please stop the shipment,cancel_order
I need a human agent to confirm my complaint was logged correctly,human_handoff
Hey there,greeting
Is store credit the only refund option or can I get cash back?,refund
Track and confirm ORD1120,order_tracking
"Hey, I appreciate the support team's effort",greeting
The amount charged doesn't match what I was quoted,billing_inquiry
I need clarification on why my refund was split into two transactions,refund
Can you confirm if promo codes shared by friends are tracked back to them,promotions
Do you ship to rural areas?,shipping_info
What's up,greeting
invoice not recieved yet,billing_inquiry
Do you provide multilingual delivery instructions for international couriers,shipping_info
"Hey, I keep trying to register but the form isn't submitting, can you help?",account_creation
Is there a discount for opting into digital-only receipts and invoices,promotions
Does this work without an internet connection?,product_inquiry
Hey,greeting
Do you have festive season deals right now?,promotions
"Hi, thanks for existing, this chat is really convenient",greeting
Do you ship internationally?,shipping_info
can u check refund status for my last return,refund
Can you cancel my order and hold the refund as store credit instead,cancel_order
"billing cycle seems off, charged early this time",billing_inquiry
do you deliver bulky items like mattresses to upper floors,shipping_info
"The seller refuses to accept my return, can you help?",refund
"Cancel my order, the estimated delivery is too far out for me",cancel_order
is there a delivery tracking app separate from yours,shipping_info
"Hi, thank you for connecting with me",greeting
Is there a quieter operating mode available for this appliance,product_inquiry
Can you check with the courier why there's a delay?,order_tracking
want my money back,refund
Can I get info on the Xiaomi smartwatch,product_inquiry
"Hey, thanks in advance for your help",greeting
Why does the invoice PDF not match the numbers shown in-app,billing_inquiry
does dis come with free accessories,product_inquiry
Is this covered under an extended warranty option?,product_inquiry
"Can you confirm a real person, not a script, generated this response",human_handoff
Why was only the product refunded but not the taxes paid,refund
Is this compatible with adapters from older generations of the same brand,product_inquiry
Do you use drones or any automated delivery methods in select cities,shipping_info
Can you initiate a refund for my last order?,refund
"my account recovery request was denied, why",account_recovery
Can I get a full refund?,refund
Can I request delivery split between morning and evening based on item type,shipping_info
Is this compatible with my phone model?,product_inquiry
chasing this delivery for a while now,order_tracking
Wheres my order at,order_tracking
"The item expired before I even received it, I want a refund",refund
I need this refund escalated since it's been well past the promised timeline,refund
Please put me through to a live agent,human_handoff
I want to create a family account for shared use,account_creation
any ofer on first purchase,promotions
"Hi, I need some help please",greeting
I want to cancel because I misread the product description,cancel_order
Can I recover my account using just my phone number,account_recovery
Details on the Sony camera,product_inquiry
cancel plz asap,cancel_order
cancl my recent purchse,cancel_order
otp not comin thru,account_recovery
Is there a cancellation fee if I cancel now?,cancel_order
What certifications does this product have?,product_inquiry
Hey! Hope you're doing well,greeting
Is there a discount available specifically for app-only purchases,promotions
cant get in my acount,account_recovery
Get me a customer service representative,human_handoff
wats the difference between dis and the pro version,product_inquiry
Can you tell me where my package currently is?,order_tracking
My old recovery email belongs to an employer I no longer work for,account_recovery
Why does my invoice show tax twice for the same item,billing_inquiry
Is cancellation instant if I haven't received any shipping confirmation yet,cancel_order
Is there a way to get a personalized recommendation between similar models,product_inquiry
can you check if my discount was applied in the final bill,billing_inquiry
Can you verify if a chargeback I filed has been resolved,billing_inquiry
Is there a way to change delivery instructions after dispatch,order_tracking
Change address,account_management
Information about External Hard Drive,product_inquiry
Can support confirm if partial returns qualify for full shipping refund too,refund
I need this refund resolved before my credit card statement generates,refund
My parcel is late,order_tracking
I need to cancel because the item conflicts with something else I already own,cancel_order
Delivery time?,shipping_info
Can you tell me if this promo is region-locked or available nationwide,promotions
"new here, how to create login",account_creation
Order ORD1143 tracking,order_tracking
is dis suitable for daily use,product_inquiry
G'day,greeting
Hello support team,greeting
the app says my account doesnt exist anymore,account_recovery
Bluetooth speaker details,product_inquiry
I need to cancel my purchase,cancel_order
is there a way to bulk update multiple fields at once,account_management
I need to switch my account from personal to business,account_management
Can I change my security questions?,account_management
"Hey, is there a way to save this chat for later reference",greeting
colr options for dis product,product_inquiry
I changed my phone number and now OTP isn't reaching me for login,account_recovery
"Please cancel my order, I no longer have the money to pay for it",cancel_order
can i talk to someone senior,human_handoff
whats causing the delay on my shipment,order_tracking
"i need urgent help, my business account is locked and i have orders pending",account_recovery
can you cross check this charge with your payment records,billing_inquiry
My account got flagged for suspicious activity and now I can't log in,account_recovery
What's the weight of this item?,product_inquiry
is there a way to bypass the bot entirely,human_handoff
refund policy says 7 days but its been 2 weeks already,refund
Can recovery be done through the mobile app if the website isn't working,account_recovery
"Is there a discount available for customers who refer businesses, not just individuals",promotions
"returned item, wheres my refund",refund
Is this compatible with third-party accessories or only branded ones,product_inquiry
"I already sent the item back, refund not showing yet",refund
"Trying to sign up but it says my email is invalid, what should I do?",account_creation
"Good afternoon, thanks for taking my message",greeting
Why does the invoice number not match the order confirmation number,billing_inquiry
My order tracking says 'arrived at facility' with no further movement,order_tracking
I need to cancel because I'm relocating before it arrives,cancel_order
Can this be gift wrapped directly during checkout?,product_inquiry
is dis available in xl size,product_inquiry
can i preorder dis before it officially launches,product_inquiry
Can a real person confirm whether this was resolved correctly,human_handoff
I need to cancel an order placed under a family member's account,cancel_order
Is there a discount specifically for customers using accessibility features on the app,promotions
Do you offer weekend-only delivery slots for working professionals,shipping_info
I need to cancel due to a scheduling conflict with the delivery window,cancel_order
pymnt failed but money gone,billing_inquiry
I'm trying to register but don't know how,account_creation
Can you confirm if seasonal clearance discounts stack with loyalty tier benefits,promotions
Can I cancel and get an instant refund instead of waiting?,cancel_order
want money bak asap,refund
I'd rather explain this over a call with an actual agent,human_handoff
Can support verify if store credit refunds have an expiry date,refund
Is there a loyalty program I should sign up for separately?,promotions
track my shipment now,order_tracking
"I want to return this because it's the wrong size, not a defect",refund
"I want to switch my order for a different color instead of cancelling, is that easier?",cancel_order
shiping options available,shipping_info
Does buying this qualify me for any bundle discount?,product_inquiry
"Hi, apologies if this isn't the right department",greeting
can you help me remove duplicate addresses from my profile,account_management
"Hello, I'll try not to take too much of your time",greeting
How do I export my account data before closing it?,account_management
double charged pls fix,billing_inquiry
Can I choose a specific delivery time slot?,shipping_info
I need a human agent to acknowledge this issue exists before anything else,human_handoff
Why does my refund status show 'initiated' but no money received yet,refund
"Hey, got a minute?",greeting
Is there a way to cancel and immediately reorder with corrected details,cancel_order
Can delivery be coordinated with building security for gated societies,shipping_info
Can I set a maximum wait time after which delivery is automatically rescheduled,shipping_info
"Good evening, I need assistance",greeting
Is there an option to have the courier leave it with a neighbor,order_tracking
I need someone with decision-making authority to look at this,human_handoff
How do I link my existing loyalty number while creating a new account?,account_creation
Is there a way to reroute my package to a nearby pickup point instead,order_tracking
"Please cancel, I no longer trust the seller after reading reviews",cancel_order
the last update on my order was two days ago at a sorting facility,order_tracking
"Hey, thanks for getting back to me",greeting
size chart available?,product_inquiry
want to know if signup requires a subscription,account_creation
I need to escalate since the refund promised by chat support hasn't arrived,refund
"Someone said I need an invite code to register, is that true?",account_creation
"I entered the wrong date of birth while signing up, can it be corrected?",account_creation
wats the specs on this,product_inquiry
"They sent me a used product instead of new, refund please",refund
"I need this invoice broken down item by item, not as a lump sum",billing_inquiry
the app logged me out and wont let me back in since update,account_recovery
Can delivery personnel call before arriving?,shipping_info
want to cancel this specific item but keep the rest of my cart,cancel_order
wen will my order reach if i buy today,shipping_info
Can you confirm if returning a bundled item affects the refund for the rest of the set,refund
Is there an option to escalate silently without restarting the whole explanation,human_handoff
I keep entering the correct password but it says invalid,account_recovery
international shiping available?,shipping_info
Can you get a callback scheduled for tomorrow morning specifically,human_handoff
Check order ORD1131,order_tracking
Can you confirm if taxes are recalculated after applying a discount code,billing_inquiry
Getting an 'invalid credentials' error even though I'm sure it's correct,account_recovery
shipping cost varies by weight?,shipping_info
Is there an option for delivery with real-time GPS tracking of the driver,shipping_info
whats the average lifespan of dis product with regular use,product_inquiry
Status of ORD1046,order_tracking
return this item asap,refund
"I returned the item, when will I get my money back?",refund
I haven't received my order,order_tracking
Can I change which devices remain logged in permanently,account_management
need update on my parcel asap,order_tracking
refund not recieved yet,refund
Cant login,account_recovery
I want an explanation for why delivery estimates changed twice already,order_tracking
can i get extra discount for reviewing my last purchase,promotions
Tell me about Samsung Smartphone,product_inquiry
I set up a new password but it reverted back to the old one somehow,account_recovery
Can you tell me if this product is available for pre-order,product_inquiry
How does shipping work for oversized items like furniture?,shipping_info
Is there a warranty card included?,product_inquiry
Tell me about Dell Laptop,product_inquiry
Do you charge extra for delivery to gated communities with strict entry rules,shipping_info
Is there additional cost for delivery above a certain floor in apartments without elevators,shipping_info
I need to cancel because the delivery date changed drastically,cancel_order
"Hello, hope you had a relaxing weekend",greeting
Can you tell me the average customer rating for this specific variant,product_inquiry
"Forgot both my username and password, what now?",account_recovery
Is there a bonus for referring more than five friends,promotions
can i set different addresses for billing and shipping,account_management
How do I remove a saved address I no longer use?,account_management
Can I upgrade my shipping speed after placing the order?,shipping_info
Can you check if my invoice reflects the correct applied discount,billing_inquiry
How do I add a family member as an authorized user on my account?,account_management
can u pls cancel this for me,cancel_order
"waiting since morning, wheres the package",order_tracking
What's the recommended age range for this product?,product_inquiry
Can you confirm the exact origin country of manufacturing for this item,product_inquiry
any exclusive deal for today only,promotions
Can support cancel if the checkout applied the wrong regional pricing,cancel_order
I want to switch my two factor method since I lost my old device,account_recovery
My order says 'out for delivery' since morning but nothing has arrived,order_tracking
is delivery available to my office address instead of home,shipping_info
"product damaged, need refund",refund
Is there a way to speed up account verification?,account_creation
Is there a discount for customers who opt into beta testing new features,promotions
Can billing confirm if auto-debit is active on my account currently,billing_inquiry
Can support confirm whether a refund and a new charge cancel each other out,billing_inquiry
Is there an offer for customers who abandoned their cart recently,promotions
account shows banned but i never violated any rules,account_recovery
need human help,human_handoff
festivl sale details pls,promotions
Where does ORD1079 currently stand?,order_tracking
cancl my purchase,cancel_order
can you walk me through account setup,account_creation
"Good afternoon, hope this message finds you well",greeting
need to update my profile since i changed my last name after marriage,account_management
need to update my alternate contact number,account_management
Is there a live chat option with an actual human available now?,human_handoff
I want to cancel because customer reviews changed my mind,cancel_order
"Can you confirm if this offer applies to renewals, not just new subscriptions",promotions
"Hello, I appreciate you guys having live support",greeting
Is there a way to import my details from another platform when registering?,account_creation
"I've explained this three times, please get me a human",human_handoff
is packaging included in the shipping cost or separate,shipping_info
How reliable is your delivery during festival season rush?,shipping_info
can you confirm the delivery address matches what i submitted,order_tracking
Is there an option to request a human agent specifically for complex issues,human_handoff
"Hi, how does this chat support work exactly?",greeting
"My friend recommended this app, how do I make an account?",account_creation
Can I sign up with Facebook instead of email?,account_creation
I need help understanding a bundled charge on my invoice,billing_inquiry
Why is my refund pending 'seller confirmation' for so long,refund
Can you get someone from your quality team to review my case,human_handoff
Any cashback offers available?,promotions
Is shipping cost calculated before or after taxes are applied,shipping_info
"payment pending since morning, whats wrong",billing_inquiry
Can you connect me with a representative who can process manual exceptions,human_handoff
Can you confirm if a refund can be redirected to a different order as credit,refund
Is there an option to recover using my Aadhaar or ID proof,account_recovery
"the replacement they sent is also defective, want refund instead now",refund
Can support verify if a referral credit was properly reflected in this invoice,billing_inquiry
Is there a way to combine international orders to save on customs fees,shipping_info
Is there a chance the courier lost my package permanently,order_tracking
forgot my login info completely,account_recovery
Is there an exclusive discount for customers who leave detailed reviews,promotions
Greetings,greeting
Details on the JBL soundbar,product_inquiry
"Good afternoon, thanks for the help in advance",greeting
Please cancel my order since the estimated delivery is unrealistic,cancel_order
Can I update my preferred payment currency mid-subscription,account_management
want to cancel because i no longer trust the delivery timeline,cancel_order
trying to change my account currency from USD to INR,account_management
Is there a special discount tied to a specific payment wallet,promotions
"Hey, quick one before I forget to ask",greeting
need this cancelled today itself,cancel_order
forgt password pls help,account_recovery
how do i turn off location tracking on my account,account_management
any discount on bulk purchase of dis,product_inquiry
"I paid via cash on delivery, how does the refund work for that?",refund
Has my package been dispatched?,order_tracking
My spam folder doesn't have the reset email either,account_recovery
getting an error code during login that i dont understand,account_recovery
trying to change my email but it says already in use,account_management
Can delivery windows be as narrow as a two-hour slot,shipping_info
item was under warranty but they still denied my refund,refund
Can you confirm if this includes a protective case in the box,product_inquiry
Does the platform require a strong password at registration?,account_creation
Can I sign up without providing a phone number?,account_creation
need refund for the extra amount charged by mistake,billing_inquiry
Can you tell me if delivery attempts are limited to a certain number,order_tracking
Can I change my username more than once?,account_management
I need help since my refund was sent to a closed bank account,refund
Unable to sign in,account_recovery
"Can you update the spelling of my name, it was auto-corrected wrong",account_management
Is there a flat shipping rate regardless of order size?,shipping_info
"I want to permanently delete all my saved data, not just deactivate",account_management
need direct contact wit support team,human_handoff
Do you offer discounts during festivals specific to my region?,promotions
I want to cancel a preorder before the actual release date,cancel_order
Is there an option to have delivery split by item priority within one order,shipping_info
"can i get refund without returning the item, its too damaged to ship back",refund
"Hey, are you guys open right now?",greeting
Check ORD1164 status now,order_tracking
can i use my points to reduce shipping cost instead,promotions
Where has ORD1066 reached?,order_tracking
Transfer me to support staff,human_handoff
What are the shipping charges?,shipping_info
Tell me about Laptop,product_inquiry
ORD1112 status please,order_tracking
Can you compare the features of these two products?,product_inquiry
"Tracking number isn't updating, can you check manually?",order_tracking
I need this refund investigated since the tracking shows the item was never picked up,refund
"It's already past the promised delivery window, what's going on?",order_tracking
is there a referral bonus for signing up,account_creation
"Heyy, quick thing",greeting
Can shipping costs be waived for first-time customers,shipping_info
Can you remove my old email as a recovery option?,account_management
"Hey, are you able to help with account stuff too?",greeting
I tried cancelling myself but there was no option available,cancel_order
Check on ORD1051 for me,order_tracking
I need help since my return got rejected without a clear reason,refund
"Can you get someone to explain this policy in plain terms, not the standard script",human_handoff
Does this come in a larger size?,product_inquiry
Can I sign up and immediately place an order without waiting for verification,account_creation
I moved recently and need to update my address,account_management
"It says my account is suspended, how do I recover it?",account_recovery
Recovery keeps timing out exactly at the verification step,account_recovery
Is this suitable for outdoor use?,product_inquiry
Is there a minimum order for free shipping?,shipping_info
Do you sell ASUS monitors?,product_inquiry
"I lost access to the email linked to my account, what do I do now?",account_recovery
What printers are currently available?,product_inquiry
Do you provide an option for scheduled recurring deliveries,shipping_info
I need to speak with someone who can actually check backend order details,human_handoff
When will it arrive if I order today?,shipping_info
disc code pls,promotions
Is there an option to update multiple saved addresses at once in bulk,account_management
how do i clean or maintain dis product,product_inquiry
Can you connect me with someone who handled a similar case before,human_handoff
order shows delivered but i got nothing,order_tracking
"Hi, thanks for always being responsive",greeting
"Hello, glad I don't have to wait on hold for this",greeting
Can you confirm if I can choose the mode of refund myself,refund
Laptop specifications,product_inquiry
i need a callback from a real agent today,human_handoff
Is there a way to leave delivery instructions for the courier?,shipping_info
Can support verify and cancel if I provide my registered mobile number,cancel_order
Can support confirm the exact refund amount before I proceed with the return,refund
"My password manager has the wrong saved password now, how do I sync it",account_recovery
Is there a kid-friendly version of this same product,product_inquiry
Cancel this order for me,cancel_order
